Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames,ID_NAME
HIP_40375,4334,209,0.711,0.052000000000000005,4.65,0.04,0.03,0.1,0.7,0.06,9.55,0.52,52.0,8.8,C,1,0,Gaia,2M,Simbad,123.64964,13.02283,LSPM_J0814+1301|TYC__802-1157-1|ASCC__944285|USNO-B1.0_1030-00191414|AG+13__820|BD+13__1870|Ci_20__466|G__91-41|G__50-27|G__52-5|GEN#_+1.00068834|GJ__3488|HD__68834|HIC__40375|HIP__40375|LTT_12158|NLTT_19175|PPM_125028|Ross__620|SAO__97673|UBV_M__14100|YZ__13__3331|YZC_19__3331|2MASS_J08143597+1301220|EPIC_211491918|Gaia_DR1_650337660128201472|Gaia_DR2_650337664425397632,Gaia_DR2_650337664425397632
HIP_40910,4159,228,0.633,0.053,4.67,0.05,-0.06,0.1,0.64,0.06,9.6,0.52,44.4,9.7,C,1,0,Gaia,2M,Simbad,125.23054,14.07133,PLX_1982|LSPM_J0820+1404|TYC__807-557-1|ASCC__944752|UCAC2__36817878|2MASS_J08205533+1404170|USNO-B1.0_1040-00155452|BD+14__1876|G__50-30|G__52-7|GCRV__5514|GEN#_+0.01401876|GJ__3494|HIC__40910|HIP__40910|LTT_12180|MCC__21|NLTT_19358|[RHG95]__1309|p._Pulk_76-S4|PLX_1982.00|UCAC4_521-046016|StKM_2-491|EPIC_211566266|Gaia_DR1_652005928505684864|WEB__7933|Gaia_DR2_652005932802958976,Gaia_DR2_652005932802958976
HIP_45839,4426,198,0.7140000000000001,0.05,4.63,0.04,0.05,0.1,0.72,0.06,9.61,0.52,41.8,9.1,C,1,0,Gaia,2M,Simbad,140.18465,-5.75397,BD-05__2778|G_161-15|GCRV_60585|GEN#_+1.00080632|GJ__9296|GJ___340.3|HD__80632|HIC__45839|HIP__45839|LTT__3438|MCC_544|NLTT_21526|PPM_192283|SAO_136772|VVO__99|YZ__95__3621|YZC_17__3621|2MASS_J09204431-0545144|PLX_2228.02|TYC_4892-471-1|WISEA_J092044.05-054515.3|UCAC4_422-049805|StKM_2-558|Gaia_DR1_5746426720312132608|WEB__8692|Gaia_DR2_5746426720312132608,Gaia_DR2_5746426720312132608
HIP_47201,4207,212,0.696,0.054000000000000006,4.66,0.05,0.03,0.1,0.67,0.06,9.63,0.52,44.5,9.4,C,1,0,Gaia,2M,Simbad,144.29725,22.69414,LSPM_J0937+2241|TYC_1959-1522-1|ASCC__773684|UCAC2__39847947|USNO-B1.0_1126-00202846|AG+22_1098|BD+23__2121|GCRV_60769|GEN#_+0.02302121|GJ__9304|GJ__1127|HIC__47201|HIP__47201|LTT_12540|MCC_270|NLTT_22173|PPM__99730|Ross___89|VVO_282|[RHG95]__1524|2MASS_J09371136+2241393|PLX_2282.01|UCAC4_564-046258|StKM_2-578|Gaia_DR1_641154092336907776|WEB__8881|Gaia_DR2_641154096631794432,Gaia_DR2_641154096631794432
HIP_48411,4357,199,0.742,0.07200000000000001,4.63,0.04,0.2,0.1,0.72,0.07,9.62,0.52,47.7,8.8,C,2,0,Gaia,2M,Simbad,148.04734,3.2218400000000003,PLX_2336.1|LSPM_J0952+0313|TYC__240-2143-1|ASCC_1132172|UCAC2__32868909|USNO-B1.0_0932-00217960|AG+03_1335|BD+03__2279|CCDM_J09522+0313A|CSI+03__2279__2|Ci_20__552|G__48-45|G__53-11|GC_13581|GCRV_60955|GEN#_+1.00085488|GJ___371|HD__85488|HIC__48411|HIP__48411|IDS_09470+0341_A|JP11__1878|LTT_12622|MCC_558|NLTT_22807|PPM_156272|SAO_117958|UBV_M__15759|VVO_228|YZ___3__3892|YZC_20__3892|[RHG95]__1552|2MASS_J09521136+0313184|PLX_2336.10|WDS_J09522+0313A|WISEA_J095211.06+031318.8|UCAC4_467-043048|StKM_2-594|WEB__9028|Gaia_DR2_3847128380281953664,Gaia_DR2_3847128380281953664
HIP_4845,3967,301,0.632,0.073,4.72,0.12,-0.19,0.1,0.59,0.09,9.62,0.52,46.7,10.0,C,1,0,Gaia,2M,Simbad,15.58806,-10.42386,2MASS_J01022113-1025256|PLX__208|BD-11___192|GCRV___590|GEN#_-0.01100192|GJ__3072|GSC_05273-01440|HIC___4845|HIP___4845|MCC___3|PPM_209648|TYC_5273-1440-1|UGP__15|[RHG95]___203|PLX__208.00|WISEA_J010221.15-102527.7|Gaia_DR1_2473055947291890816|WEB___934|Gaia_DR2_2473055951588089088,Gaia_DR2_2473055951588089088
HIP_54810,4395,185,0.6809999999999999,0.044,4.64,0.04,0.03,0.1,0.7,0.06,9.58,0.52,54.2,8.6,C,1,0,Gaia,2M,Simbad,168.30514,4.48234,LSPM_J1113+0428|TYC__266-586-1|ASCC_1135032|UCAC2__33224909|USNO-B1.0_0944-00192736|AG+04_1488|BD+05__2463|Ci_18_1368|G__45-41|G__10-7|G_163-63|GC_15419|GCRV_62157|GEN#_+1.00097503|GJ___418|GSC_00266-00586|HD__97503|HIC__54810|HIP__54810|LTT_13022|MCC_604|NLTT_26655|PPM_157632|SAO_118726|UBV___10226|UBV_M__16886|Wolf__369|YZ___4__5730|YZC_22__5730|uvby98_100097503|2MASS_J11131322+0428562|UCAC4_473-046757|StKM_2-712|EPIC_201749946|Gaia_DR1_3815264838251197440|WEB__9889|Gaia_DR2_3815264842546968192,Gaia_DR2_3815264842546968192
HIP_5663,4186,222,0.672,0.055,4.67,0.05,-0.05,0.1,0.66,0.06,9.58,0.52,44.0,9.5,C,1,0,Gaia,2M,Simbad,18.19221,-25.23558,2MASS_J01124611-2514082|CD-25___480|CPD-25___128|EGM_662|GEN#_+1.00007279|GSC_06425-01223|HD___7279|HIC___5663|HIP___5663|PPM_243710|SAO_166878|SRS___3650|TYC_6425-1223-1|YZ_115___577|[KSP2003]_G192.5466-84.8554|[KSP2003]_J011245.89-251409.6|Gaia_DR1_5040737308379430144|Gaia_DR2_5040737312674978816,Gaia_DR2_5040737312674978816
HIP_66222,3904,266,0.667,0.087,4.7,0.07,-0.11,0.1,0.59,0.08,9.62,0.52,48.8,9.9,C,2,0,Gaia,2M,Simbad,203.58959,4.6674,Karmn_J13343+046|PLX_3099.1|LSPM_J1334+0440|ASCC_1139143|UCAC2__33403663|USNO-B1.0_0946-00216494|AG+04_1720|BD+05__2767|G__62-50|GCRV_64207|GEN#_+0.00502767|GJ__1172|GSC_00310-00369|HIC__66222|HIP__66222|LTT_13947|MCC__48|NLTT_34499|PPM_159880|SAO_120011|TYC__310-369-1|Wolf_1487|YZ___4__6444|YZC_22__6444|[RHG95]__2137|2MASS_J13342150+0440026|PLX_3099.10|WISEA_J133421.60+044001.3|UCAC4_474-049887|StKM_2-955|PM_J13343+0440|WEB_11698|Gaia_DR2_3714667225186824064,Gaia_DR2_3714667225186824064
HIP_93871,4449,177,0.6809999999999999,0.043,4.67,0.04,-0.47,0.1,0.65,0.05,9.67,0.52,40.8,9.2,C,1,0,Gaia,2M,Simbad,286.7585,7.6158800000000015,PLX_4443|LSPM_J1907+0736|ASCC_1069379|UCAC2__34517412|USNO-B1.0_0976-00500559|AG+07_2570|AGKR_17051|BD+07__3967|Ci_20_1128|G_142-7|G__22-15|GC_26316|GCRV_11570|GEN#_+1.00178126|HD_178126|HIC__93871|HIP__93871|LFT_1448|LHS__3431|LTT_15599|NLTT_47416|PPM_167204|SAO_124283|TYC_1040-324-1|UBV___16212|UBV_M__23508|YZ___7__9034|YZC_22__9034|uvby98_100178126|2MASS_J19070204+0736576|PLX_4443.00|Gaia_DR1_4307162013825208448|WEB_16330|Gaia_DR2_4307162018124573312,Gaia_DR2_4307162018124573312
HIP_97051,4200,248,0.631,0.057,4.7,0.07,-0.19,0.1,0.62,0.07,9.59,0.52,38.5,10.0,C,1,0,Gaia,2M,Simbad,295.85557,10.08951,HD_355784|LSPM_J1943+1005|TYC_1061-1929-1|ASCC__979784|UCAC2__35466950|USNO-B1.0_1000-00492905|AC_+09___148-85|CSI+09-19411|G_142-47|GCRV_69778|GJ__9667|HIC__97051|HIP__97051|LP__633-12|LTT_15757|MCC_326|NLTT_48153|VVO_349|2MASS_J19432533+1005223|PLX_4632.01|Gaia_DR1_4302670680625318784|WEB_17031|Gaia_DR2_4302670684951953280,Gaia_DR2_4302670684951953280
HD_111631,3989,60,0.6459999999999999,0.02,4.66,0.05,0.24,0.08,0.7,0.07,9.79,0.51,93.7,8.5,D,1,1,Gaia,2M,Simbad,192.68153,-0.76813,PLX_2951|AG-00_1774|BD+00__2989|Ci_18_1633|DO__3290|G__14-6|G__60-41|GC_17435|GCRV__7688|GEN#_+1.00111631|GJ___488|HD_111631|HIC__62687|HIP__62687|IRAS_12481-0029|JP11__2306|LTT__4913|MCC_675|NLTT_32069|PPM_178892|SAO_138992|UBV___11547|UBV_M__18725|YZ__90__3469|YZC_21__3469|[RHG95]__2024|uvby98_100111631|2MASS_J12504357-0046047|PLX_2951.00|TYC_4950-67-1|UGP_307|WISEA_J125043.52-004609.2|UCAC4_447-054239|StKM_2-878|PM_J12507-0046|Gaia_DR1_3689602272788441600|WEB_11119|Gaia_DR2_3689602277083844480,Gaia_DR2_3689602277083844480
HD_1326B,3218,60,0.192,0.008,5.07,0.05,-0.3,0.08,0.16,0.02,9.64,0.53,,11.0,D,3,0,Gaia,2M,Simbad,4.6062400000000014,44.02712,Karmn_J00184+440|ASCC__373580|2MASS_J00182549+4401376|8pc_280.27B|ADS___246_B|BD+43____44B|CCDM_J00184+4401B|CSI+43____44__3|G_171-48|GCRV___162|GEN#_+1.00001326C|GJ____15_B|HD___1326B|JP11___171|LFT___32|LHS_____4|LTT_10109|NLTT___923|PM_00156+4345|SV*_SVS__1804|V*_GQ_And|Zkh___6|[GKL99]__10|[GS83]__69|[RHG95]____61|LSPM_J0018+4401E|WDS_J00184+4401B|Gaia_DR2_385334196532776576|**_GRB___34B|PM_J00184+4401|WISEA_J001828.65+440141.3|StKM_2-24b|WEB___266,Gaia_DR2_385334196532776576
HD_157881,4124,60,0.649,0.02,4.66,0.05,0.19,0.08,0.71,0.07,9.65,0.52,129.3,7.6,D,1,1,Gaia,2M,Simbad,261.43847,2.11142,GES_J17254471+0206252|PLX_3955|LSPM_J1725+0206|ASCC_1150521|USNO-B1.0_0921-00392557|8pc_129.54|AG+02_2080|AGKR_15538|BD+02__3312|Ci_20_1036|G__19-24|G__20-2|GC_23592|GCRV_10069|GEN#_+1.00157881|GJ___673|GSC_00405-00956|HD_157881|HIC__85295|HIP__85295|IRAS_17232+0209|JP11__2852|LFT_1348|LHS___447|LTT_15175|MCC_794|NLTT_44767|PM_17233+0210|PPM_163976|SAO_122374|SKY#_31452|SRS__14197|TYC__405-956-1|UBV___14866|UBV_M__22182|VVO_250|Wolf__718|YZ___2__5766|YZC_20__5766|Zkh_254|[GS83]__64|[RHG95]__2756|uvby98_100157881|2MASS_J17254521+0206406|PLX_3955.00|WISEA_J172544.81+020629.2|UCAC4_461-067140|StKM_2-1320|Gaia_DR1_4375233191015944192|WEB_14399|Gaia_DR2_4375233191015944192,Gaia_DR2_4375233191015944192
HD_165222,3614,60,0.459,0.016,4.79,0.05,-0.22,0.08,0.47,0.05,9.7,0.52,128.3,9.4,D,2,1,Gaia,2M,Simbad,271.28158,-3.03132,PLX_4133|8pc_128.28|BD-03__4233|DO__4566|G__21-1|G__20-22|GCRV_10525|GEN#_+1.00165222|GJ___701|HD_165222|HIC__88574|HIP__88574|IRAS_18024-0302|JP11__2924|L__991-14|LFT_1389|LHS__3356|LPM_667|LTT__7180|MCC_176|NLTT_45883|NSV_10167|PM_18025-0302|PPM_201375|SAO_142072|TYC_5100-282-1|UBV___15372|UGP_443|VVO_182|YZ__93__6055|YZC_17__6055|Zkh_270|[RHG95]__2859|2MASS_J18050755-0301523|UCAC2__30729179|PLX_4133.00|WISEA_J180507.97-030156.2|UCAC4_435-075468|PM_J18051-0301|WEB_14999|Gaia_DR2_4177731838628465408,Gaia_DR2_4177731838628465408
HD_180617,3558,60,0.474,0.016,4.76,0.05,0.1,0.08,0.47,0.05,9.7,0.52,169.4,9.1,D,1,1,Gaia,2M,Simbad,289.23024,5.1689,Karmn_J19169+051N|PLX_4494|UCAC2__33630690|LSPM_J1916+0510|ASCC_1070266|2MASS_J19165526+0510086|USNO-B1.0_0951-00432102|2E__4216|8pc_170.26A|AG+05_2703|BD+04__4048|CSI+04__4048__1|Ci_20_1143|DO__5540|G__22-22|G_142-24|GCRV_11733|GEN#_+1.00180617A|GJ___752_A|GSC_00472-01252|HD_180617|HIC__94761|HIP__94761|JP11__3084|LFT_1466|LHS___473|LTT_15645|MCC__65|NLTT_47619|PPM_167538|Ross__652|TYC__472-1252-1|UBV___16316|UBV_M__23632|V*_V1428_Aql|VVO__69|Wolf_1055|Zkh_288|[GKL99]_369|[HFE83]_1274|[RHG95]__3037|1E_191429+0505.5|2E_1914.4+0505|WDS_J19169+0510A|IRAS_19145+0505|CCDM_J19169+0510A|**_LDS_6334A|GJ___752|PM_19145+0505|GCRV_69237|PM_J19169+0510|UCAC4_476-093846|Gaia_DR1_4293318818833464832|WEB_16538|Gaia_DR2_4293318823182081408,Gaia_DR2_4293318823182081408
HD_209290,3848,60,0.546,0.019,4.74,0.05,0.02,0.08,0.59,0.06,9.56,0.52,94.2,9.1,D,1,1,Gaia,2M,Simbad,330.5428100000001,1.40023,Karmn_J22021+014|PLX_5318|LSPM_J2202+0124|TYC__558-1540-1|ASCC_1175435|USNO-B1.0_0914-00554481|AG+01_2676|BD+00__4810|Ci_20_1331|DO__7683|G__18-16|G__27-5|G__26-44|G__93-66|GCRV_13839|GEN#_+1.00209290|GJ___846|HD_209290|HIC_108782|HIP_108782|IRAS_21596+0109|LFT_1678|LHS__3745|LTT_16435|MCC_335|NLTT_52725|PM_21596+0110|PPM_172573|UBV_M__26062|UBV___18818|VVO__73|Wolf_1340|Zkh_327|[HFE83]_1478|[RHG95]__3458|2MASS_J22021026+0124006|PLX_5318.00|WISEA_J220209.96+012358.0|UCAC4_458-125308|PM_J22021+0124|Gaia_DR1_2683023807333389952|WEB_19569|Gaia_DR2_2683023811628007296,Gaia_DR2_2683023811628007296
HD_232979,3929,60,0.608,0.02,4.68,0.05,-0.11,0.08,0.65,0.07,9.78,0.51,101.2,8.9,D,1,1,Gaia,2M,Simbad,69.42054,52.89361,Karmn_J04376+528|2MASS_J04374092+5253372|PLX_1010|LSPM_J0437+5253|TYC_3732-542-1|ASCC__244104|USNO-B1.0_1428-00155067|AG+52__450|BD+52___857|Ci_18__594|Ci_20__298|G_175-42|G_191-4|GCRV__2695|GEN#_+1.00232979|GJ___172|HD_232979|HIC__21553|HIP__21553|IRAS_04337+5247|L_1742-6|LFT__362|LHS__1688|LTT_11464|MCC_449|NLTT_13604|PPM__29269|SAO__24722|UBV____4415|UBV_M__27782|VVO_235|YZ__52__1893|YZC_26__1893|[GKL99]_123|[RHG95]___799|PLX_1010.00|1RXS_J043740.6+525346|WISEA_J043741.24+525332.2|UCAC4_715-033323|PM_J04376+5253|Gaia_DR1_272855561463141248|WEB__4137|Gaia_DR2_272855565762295680,Gaia_DR2_272855565762295680
HD_245409,3966,60,0.601,0.02,4.69,0.05,0.05,0.08,0.65,0.07,9.66,0.52,87.7,8.9,D,1,1,Gaia,2M,Simbad,84.12913,11.32787,Karmn_J05365+113|2MASS_J05363099+1119401|2RE_J053634+111836|2RE_J0536+111|AG+11__546|BD+11___878|GCRV_56437|GEN#_+1.00245409|GJ___208|GSC_00709-00063|HD_245409|HIC__26335|HIP__26335|MCC_464|PPM_121171|RE_J053634+111834|RE_J0536+111|SAO__94695|TYC__709-63-1|VVO__38|YZ__11__1712|[RHG95]___944|PLX_1281.01|1RXS_J053632.0+111935|V*_V2689_Ori|ASAS_J053631+1119.7|IRAS_05336+1117|AKARI-IRC-V1_J0536309+111940|ASAS_J053631+1119.5|UCAC4_507-012838|StKM_2-419|PM_J05365+1119|Gaia_DR1_3339921875389105152|WEB__5189|Gaia_DR2_3339921875389105152,Gaia_DR2_3339921875389105152
HD_265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,D,1,1,Gaia,2M,Simbad,103.70399,33.26818,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,Gaia_DR2_939072613334579328
HD_28343,4124,62,0.687,0.023,4.64,0.05,0.39,0.08,0.74,0.07,9.77,0.51,89.0,8.3,D,1,1,Gaia,2M,Simbad,67.25052,21.9227,Karmn_J04290+219|PM_J04290+2155|2MASS_J04290013+2155214|PLX__990|LSPM_J0429+2155|ASCC__749923|USNO-B1.0_1119-00056724|AG+21__422|AGKR__3969|BD+21___652|DO_10515|GCRV__2612|GEN#_+1.00028343|GJ___169|GSC_01277-00601|HD__28343|HIC__20917|HIP__20917|IRAS_04260+2148|LTT_11433|MCC___8|NLTT_13343|NSV__1612|PMC_90-93__2190|PPM__93545|SAO__76626|TYC_1277-601-1|VVO__11|YZ__21__1444|Zkh__61|[GKL99]_118|uvby98_100028343|PLX__990.00|1RXS_J042859.8+215519|2EUVE_J0429+21.9|EUVE_J0429+21.9|WISEA_J042900.05+215523.6|UCAC4_560-009898|StKM_2-358|Gaia_DR1_145421304810445312|WEB__4018|Gaia_DR2_145421309108301184,Gaia_DR2_145421309108301184
GJ_628,3272,60,0.325,0.012,4.88,0.05,-0.03,0.08,0.29,0.03,9.85,0.48,232.3,10.1,D,1,1,Gaia,2M,Simbad,247.57524,-12.66259,PLX_3746|8pc_234.51|BD-12__4523|Ci_20__995|G_153-58|GCRV__9490|GEN#_-0.01204523|GJ___628|GSC_05635-00564|HIC__80824|HIP__80824|IRAS_16274-1232|JP11___290|LFT_1283|LHS___419|LPM_606|LTT__6580|MCC_164|NLTT_42927|NSV__7768|PM_16275-1232|UBV___13944|UBV_M___5365|V*_V2306_Oph|VVO_222|Wolf_1061|Zkh_227|[RHG95]__2599|Gaia_DR2_4330690742322011520|2MASS_J16301808-1239434|PLX_3746.00|TYC_5635-1241-1|WISEA_J163018.01-123957.3|UCAC4_387-070731|PM_J16303-1239|Gaia_DR1_4330690909825212928|WEB_13669,Gaia_DR2_4330690742322011520
GL_105B,3284,60,0.278,0.01,4.94,0.05,-0.12,0.03,0.25,0.03,9.85,0.51,,11.7,D,3,1,Gaia,2M,Simbad,39.06399,6.8719800000000015,Karmn_J02362+068|LSPM_J0236+0652|2MASS_J02361535+0652191|USNO-B1.0_0968-00026146|8pc_138.72B|BD+06___398B|CCDM_J02361+0653B|CSI+06___398__2|Ci_20__175|G__73-71|G__76-12|GEN#_+1.00016160B|GEN#_+1.20016160|GEN#_+9.80073071|GJ___105_B|GSC_00052-00151|IDS_02307+0626_B|LFT__218|LHS____16|LTT_10859|MCC_396|NLTT__8455|UBV____2587|USNO_802|V*_BX_Cet|Zkh__44|[R78b]_153|[RHG95]___463|vMa_2-3|**_PLQ___32B|WDS_J02361+0653C|AKARI-IRC-V1_J0236161+065228|WISE_J023616.50+065233.0|PMSC_02307+0626B|Gaia_DR2_18565464288396416|WISEA_J023616.52+065232.9|UCAC4_485-003632|PM_J02362+0652,Gaia_DR2_18565464288396416
GL_109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,D,2,1,Gaia,2M,Simbad,41.06462,25.52336,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,Gaia_DR2_114207651462714880
GL_2066,3500,60,0.461,0.017,4.77,0.05,-0.12,0.08,0.45,0.04,9.78,0.51,112.0,10.1,D,1,1,Gaia,2M,Simbad,124.03326,1.30257,Karmn_J08161+013|LSPM_J0816+0118|TYC__196-1309-1|ASCC_1126826|UCAC2__32192525|USNO-B1.0_0913-00160889|G_113-20|GEN#_+9.80113020|GJ__2066|HIC__40501|HIP__40501|NLTT_19217|UBV_M__53750|[RHG95]__1299|2MASS_J08160798+0118091|PLX_1965.12|WISEA_J081607.71+011810.1|UCAC4_457-041317|StKM_2-486|PM_J08161+0118|Gaia_DR1_3089711374373226752|Gaia_DR2_3089711447388931584,Gaia_DR2_3089711447388931584
GL_239,3801,60,0.423,0.015,4.86,0.05,-0.34,0.08,0.47,0.05,9.49,0.52,99.5,9.6,D,1,1,Gaia,2M,Simbad,99.295,17.56482,PLX_1538|LSPM_J0637+1733|ASCC__848699|UCAC2__38047613|2MASS_J06371092+1733526|USNO-B1.0_1075-00138472|BD+17__1320|CCDM_J06372+1734A|Ci_20__393|G_110-5|G_109-14|G_105-49|G_104-49|GCRV__4273|GEN#_+0.01701320|GEN#_+1.00260655|GJ___239|HD_260655|HIC__31635|HIP__31635|IDS_06314+1738_A|IRAS_06342+1736|JP11____53|LFT__477|LHS__1858|LTT_11880|NLTT_16743|TYC_1333-1683-1|UBV____6560|UBV_M__28516|Wolf__287|Zkh__90|[JHC84]__55|[RHG95]__1057|PLX_1538.00|WDS_J06372+1733A|WISEA_J063710.25+173356.8|UCAC4_538-030603|PM_J06371+1733|Gaia_DR1_3359074680751328000|WEB__6335|Gaia_DR2_3359074685047632640,Gaia_DR2_3359074685047632640
GL_250B,3481,60,0.46,0.017,4.76,0.05,0.14,0.03,0.44,0.04,9.69,0.52,,10.1,D,3,1,Gaia,2M,Simbad,103.07521,-5.19006,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728",Gaia_DR2_3101920046552857728
GL_273,3317,60,0.315,0.012,4.89,0.05,-0.11,0.08,0.28,0.03,9.85,0.49,263.3,9.9,D,2,1,Gaia,2M,Simbad,111.85208,5.22579,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213,Gaia_DR2_3139847906304421632
GL_382,3623,60,0.522,0.019,4.72,0.05,0.13,0.08,0.53,0.05,9.75,0.52,128.0,9.3,D,2,1,Gaia,2M,Simbad,153.07362,-3.74567,8pc_127.99|BD-03__2870|G_162-25|G__53-29|GCRV_61131|GEN#_-0.00302870|GJ___382|HIC__49986|HIP__49986|IRAS_10097-0329|JP11___247|LTT__3734|MCC_569|NLTT_23680|PPM_193190|SAO_137411|UBV_M___5136|VVO__13|YZ__93__3945|YZC_17__3945|Zkh_139|[RHG95]__1595|2MASS_J10121768-0344441|PLX_2395.11|1RXS_J101217.2-034442|V*_AN_Sex|TYC_4907-704-1|ASAS_J101218-0344.8|ASAS_J101217-0344.6|WISEA_J101217.55-034447.1|UCAC4_432-051854|StKM_2-618|PM_J10122-0344|GALEX_6381998870279227813|WEB__9193|Gaia_DR2_3828238392559860992,Gaia_DR2_3828238392559860992
GL_393,3548,60,0.42,0.016,4.82,0.05,-0.18,0.08,0.43,0.04,9.66,0.52,138.3,9.7,D,2,1,Gaia,2M,Simbad,157.23146,0.84101,PLX_2456|LSPM_J1028+0050|ASCC_1133482|UCAC2__32036240|USNO-B1.0_0908-00191111|8pc_138.29|AG+01_1298|BD+01__2447|Ci_20__580|G__55-24|G_162-60|GCRV__6576|GEN#_+0.00102447|GJ___393|GSC_00246-01068|HIC__51317|HIP__51317|JP11_____7|LFT__719|LHS__2272|LTT_12805|MCC_127|NC_28|NLTT_24467|PPM_156874|Ross__446|TYC__246-1068-1|UBV____9694|UBV_M____156|UBV____9672|VVO_262|Zkh_142|[ATZ98]_C060|[RHG95]__1642|2MASS_J10285555+0050275|PLX_2456.00|1RXS_J102855.9+005023|RX_J1028.9+0050|ASAS_J102856+0050.5|WISEA_J102855.13+005020.1|UCAC4_455-050081|StKM_2-642|PM_J10289+0050|GALEX_6381928538042272148|WEB__9373|Gaia_DR2_3855208897392952192,Gaia_DR2_3855208897392952192
GL_514,3727,61,0.483,0.016,4.79,0.05,-0.09,0.08,0.53,0.05,9.54,0.52,131.1,9.0,D,2,1,Gaia,2M,Simbad,202.49911,10.37716,PLX_3079|LSPM_J1329+1022|TYC__895-317-1|ASCC__955736|UCAC2__35403307|USNO-B1.0_1003-00216029|8pc_131.12|AG+10_1630|BD+11__2576|Ci_20__782|G__63-34|GCRV__8008|GEN#_+0.01102576|GJ___514|HIC__65859|HIP__65859|JP11____45|LFT_1012|LHS___352|LTT_13925|MCC_143|NLTT_34287|PM_13275+1039|PPM_129864|Ross__490|UBV___12123|UBV___12139|UBV_M____489|VVO___5|Zkh_200|[RHG95]__2123|2MASS_J13295979+1022376|PLX_3079.00|[ZEH2003]_RX_J1329.9+1022__2|1RXS_J132958.5+102252|[FS2003]_0673|RX_J1329.9+1022|AKARI-IRC-V1_J1330002+102230|IRAS_13275+1038|WISEA_J133000.58+102226.4|UCAC4_502-056873|StKM_2-947|PM_J13299+1022|GALEX_6378656384993461793|WEB_11651|Gaia_DR2_3738099879558957952,Gaia_DR2_3738099879558957952
