Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames,ID_NAME
HD_93396,5327,60,2.46,0.31,3.74,0.05,0.31,0.05,1.25,0.14,9.74,0.14,8.9,8.0,A,2,1,Gaia,2M,Simbad,161.70725,-9.39902,SPOCS_2761|BD-08__2999|GSC_05499-01085|HD__93396|HERZ__1465|HIC__52733|HIP__52733|PPM_193776|SAO_137780|SKY#_20650|TYC_5499-1085-1|YZ__99__4086|Gaia_DR2_3761497761876022400|2MASS_J10464974-0923563|KELT-11,Gaia_DR2_3761497761876022400
HD_95088,5103,60,2.67,0.31,3.65,0.05,0.28,0.05,1.19,0.12,9.81,0.15,9.0,8.4,A,1,1,Gaia,2M,Simbad,164.82475,43.87339,SPOCS_2769|AG+44__978|BD+44__2036|GSC_03011-00829|HD__95088|HIC__53707|HIP__53707|PPM__52173|SAO__43555|TYC_3011-829-1|uvby98_100095088|2MASS_J10591793+4352242|Gaia_DR1_781646149080741760|GEN#_+1.00095088|Gaia_DR2_781646153375845248,Gaia_DR2_781646153375845248
HD_95526,4832,60,4.25,0.65,3.2,0.05,-0.06,0.05,1.05,0.22,9.96,0.27,6.2,8.3,A,1,1,Gaia,2M,Simbad,165.53575,43.72111,SPOCS_2771|LSPM_J1102+4343|ASCC__407510|USNO-B1.0_1337-00220622|AG+43__999|AGKR__9887|BD+44__2043|GSC_03012-00341|HD__95526|HIC__53933|HIP__53933|PMC_90-93__3281|PPM__52207|SAO__43583|TYC_3012-341-1|2MASS_J11020858+4343161|Gaia_DR1_781956039561032192|Gaia_DR2_781956043856736512,Gaia_DR2_781956043856736512
HD_9625,4946,60,7.26,0.83,2.89,0.05,0.16,0.05,1.53,0.14,9.46,0.14,6.3,8.4,A,1,1,Gaia,2M,Simbad,23.5681,-6.27259,2MASS_J01341636-0616216|GPM1__59|SPOCS_2507|BD-07___257|GPM__23.568120-06.272522|GSC_04687-01032|HD___9625|HERZ___230|HIC___7320|HIP___7320|PPM_183589|SAO_129376|SRS___3875|TYC_4687-1032-1|YZ__96___320|Gaia_DR1_2478093943930096000|Gaia_DR2_2478093948225693184,Gaia_DR2_2478093948225693184
HD_96612,4862,60,0.73,0.03,4.53,0.05,-0.11,0.05,0.75,0.04,9.9,0.5,43.9,8.3,A,1,1,Gaia,2M,Simbad,167.05839,38.42663,SPOCS_2778|LSPM_J1108+3825|TYC_3010-596-1|ASCC__492260|UCAC2__45171988|USNO-B1.0_1284-00212791|AG+38_1109|AGKR__9989|BD+39__2424|HD__96612|HIC__54426|HIP__54426|LTT_12990|NLTT_26380|PPM__75693|SAO__62417|2MASS_J11081404+3825358|Gaia_DR1_764805169996366720|Gaia_DR2_764805169996366720,Gaia_DR2_764805169996366720
KOI-1925,5410,60,0.9,0.05,4.48,0.03,0.11,0.06,0.91,0.04,9.81,0.34,14.4,9.6,B,1,2,Gaia,2M,Simbad,293.67917,46.85276,SPOCS_3084|AG+46_1481|BD+46__2726|GSC_03556-00878|PPM__58527|TYC_3556-878-1|Gaia_DR2_2128215909315876352|2MASS_J19344300+4651099|KIC_9955598|KOI-1925|Kepler-409|Gaia_DR1_2128215909315876352,Gaia_DR2_2128215909315876352
KOI-975,6190,60,1.84,0.14,4.0,0.03,-0.16,0.06,1.26,0.09,9.53,0.1,9.0,8.2,B,1,1,Gaia,2M,Simbad,287.36181,38.71402,AG+38_1795|BD+38__3455|CSI+38__3455__2|GCRV_11627|GSC_03120-00963|HD_179070|HIC__94112|HIP__94112|PPM__82398|SAO__67891|TYC_3120-963-1|uvby98_100179070_A|Gaia_DR2_2099606483621385216|2MASS_J19092683+3842505|UCAC3_258-142844|USNO-B1.0_1287-00323961|GSC2_N0303231289|GSC2.3_N2JX000289|PPMX_J190926.8+384250|Kepler-21|KIC_3632418|KOI-975|Gaia_DR1_2099606479323357056|WEB_16388,Gaia_DR2_2099606483621385216
KOI-1612,6060,60,1.19,0.08,4.29,0.03,-0.2,0.06,1.02,0.06,9.75,0.11,11.0,8.8,B,1,2,Gaia,2M,Simbad,284.78618,48.42322,SPOCS_3001|AG+48_1461|BD+48__2806|GSC_03545-01227|HD_176693|PPM__57711|SAO__47978|TYC_3545-1227-1|Gaia_DR2_2131593785132997632|2MASS_J18590868+4825236|KIC_10963065|KOI-1612|Kepler-408|Gaia_DR1_2131593780833377024,Gaia_DR2_2131593785132997632
KIC_10018963,6020,60,1.83,0.15,3.95,0.03,-0.35,0.06,1.1,0.1,9.72,0.12,7.0,8.8,B,1,2,Gaia,2M,Simbad,294.7528,46.90194,SPOCS_2374|AG+46_1495|BD+46__2746|GSC_03560-02966|HD_185834|PPM__58634|SAO__48683|TYC_3560-2966-1|2MASS_J19390065+4654069|KIC_10018963|Gaia_DR1_2128527242906021504|Gaia_DR2_2128527242906021504,Gaia_DR2_2128527242906021504
KIC_10068307,6114,60,2.02,0.16,3.93,0.03,-0.22,0.06,1.3,0.09,9.49,0.11,8.6,8.2,B,1,2,Gaia,2M,Simbad,288.97786,47.06118,SPOCS_2243|AG+46_1437|BD+46__2651|GC_26581|GCRV_11732|GSC_03546-01589|HD_180867|HIC__94675|HIP__94675|PPM__58075|SAO__48258|TYC_3546-1589-1|uvby98_100180867|2MASS_J19155470+4703404|KIC_10068307|Gaia_DR1_2127799847242635520|GEN#_+1.00180867|WEB_16508|Gaia_DR2_2127799851543104768,Gaia_DR2_2127799851543104768
KIC_10162436,6200,60,2.03,0.15,3.95,0.03,-0.08,0.06,1.36,0.09,9.48,0.09,7.2,8.7,B,1,1,Gaia,2M,Simbad,298.72575,47.14526,SPOCS_2453|AG+47_1498|BD+46__2804|GEN#_+1.00188819|GSC_03562-01958|HD_188819|HIC__97992|HIP__97992|PMC_90-93__4960|PPM__59026|SAO__48972|TYC_3562-1958-1|UBV_M__24308|2MASS_J19545417+4708430|KIC_10162436|Gaia_DR1_2085664981121252096|Gaia_DR2_2085664985422688896,Gaia_DR2_2085664985422688896
KIC_10355856,6350,60,1.64,0.12,4.08,0.03,-0.19,0.06,1.21,0.09,9.58,0.1,5.6,9.2,B,1,1,Gaia,2M,Simbad,297.5594700000001,47.47365,SPOCS_2432|AG+47_1487|BD+47__2934|GSC_03561-01774|PPM__58914|SAO__48888|TYC_3561-1774-1|2MASS_J19501427+4728252|KIC_10355856|Gaia_DR1_2086399420525476352|Gaia_DR2_2086399420525476352,Gaia_DR2_2086399420525476352
KIC_10454113,6120,60,1.2,0.08,4.31,0.03,-0.06,0.06,1.1,0.06,9.6,0.15,8.9,8.7,B,1,2,Gaia,2M,Simbad,284.15268,47.65641,SPOCS_2170|AG+47_1370|BD+47__2720|GSC_03545-02352|HD_176153|HIC__92983|HIP__92983|PPM__57666|SAO__47943|TYC_3545-2352-1|2MASS_J18563663+4739230|KIC_10454113|Gaia_DR1_2131620306552653312|Gaia_DR2_2131620306552653312,Gaia_DR2_2131620306552653312
KIC_10516096,5940,60,1.39,0.1,4.18,0.03,-0.06,0.06,1.08,0.05,9.78,0.08,7.3,9.5,B,1,2,Gaia,2M,Simbad,282.39025,47.711000000000006,SPOCS_2156|AG+47_1363|BD+47__2703|GSC_03544-01771|PPM__57529|SAO__47833|TYC_3544-1771-1|2MASS_J18493364+4742398|KIC_10516096|Gaia_DR1_2119655798975306368|Gaia_DR2_2119655803272920448,Gaia_DR2_2119655803272920448
KIC_10644253,6030,60,1.1,0.06,4.4,0.03,0.12,0.06,1.12,0.04,9.34,0.26,10.1,9.3,B,1,1,Gaia,2M,Simbad,280.92676,47.93778,SPOCS_2143|AG+47_1356|BD+47__2683|GSC_03531-00451|PPM__57421|SAO__47740|TYC_3531-451-1|2MASS_J18434242+4756159|KIC_10644253|Gaia_DR1_2119828456660793856|Gaia_DR2_2119828460957942528,Gaia_DR2_2119828460957942528
KIC_10709834,6508,60,1.72,0.13,4.09,0.03,-0.08,0.06,1.34,0.08,9.42,0.07,4.3,9.8,B,1,1,Gaia,2M,Simbad,281.44793,48.0825,SPOCS_2147|GSC_03544-01782|TYC_3544-1782-1|2MASS_J18454750+4804570|KIC_10709834|Gaia_DR1_2119736887957533696|Gaia_DR2_2119736892255743744,Gaia_DR2_2119736892255743744
KIC_11137075,5590,60,1.63,0.12,4.01,0.03,-0.06,0.06,1.0,0.06,9.98,0.1,3.8,10.9,B,1,1,Gaia,2M,Simbad,291.62109,48.71209,SPOCS_2307|TYC_3547-478-1|2MASS_J19262906+4842436|KIC_11137075|Gaia_DR1_2129715814973047296|Gaia_DR2_2129715819273121792,Gaia_DR2_2129715819273121792
KIC_11244118,5745,60,1.62,0.14,4.09,0.03,0.35,0.06,1.2,0.1,9.74,0.13,6.3,9.8,B,1,1,Gaia,2M,Simbad,291.83537,48.95334,SPOCS_2310|GSC_03551-00149|TYC_3551-149-1|2MASS_J19272048+4857121|KIC_11244118|Gaia_DR1_2129724233108952192|Gaia_DR2_2129724237409548288,Gaia_DR2_2129724237409548288
KIC_11414712,5635,60,2.18,0.18,3.8,0.03,-0.05,0.06,1.08,0.13,9.85,0.15,7.8,8.7,B,1,2,Gaia,2M,Simbad,297.09337,49.23663,SPOCS_2421|AG+49_1583|BD+48__2956|GSC_03565-00428|HD_187582|PPM__58870|SAO__48861|TYC_3565-428-1|2MASS_J19482241+4914117|KIC_11414712|Gaia_DR1_2086830772685401216|Gaia_DR2_2086830772685401216,Gaia_DR2_2086830772685401216
